interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
540.00,600.00,e_grgn_to_rp1,0,0,5,34778584#0,0,0,7,68.13
540.00,600.00,e_grgn_to_rp1,0,0,8,34778584#1,0,0,8,15.75
600.00,660.00,e_r2ps_to_rp1,0,0,1,689277284#1,0,0,2,50.32
600.00,660.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,2,57.03
600.00,660.00,e_r2pn_0_to_rp1,0,0,3,689277282,0,0,3,32.41
600.00,660.00,e_r2pn_0_to_rp1,0,0,8,881567590#0,1,1,9,43.45
600.00,660.00,e_r2pn_0_to_rp1,2,0,9,881567590#1,0,0,7,19.57
600.00,660.00,e_r2pn_1_to_rp1,0,0,5,1107701847.173,0,0,4,6.65
600.00,660.00,e_r2pn_1_to_rp1,2,0,9,881567590#1,0,0,7,19.57
600.00,660.00,e_plsr_to_rp1,0,0,11,22674672,0,0,9,47.76
600.00,660.00,e_plsr_to_rp1,0,0,8,591402342#0,0,0,7,30.15
600.00,660.00,e_plsr_to_rp1,0,0,7,591402342#1,0,0,8,21.13
600.00,660.00,e_plsr_to_rp1,0,0,8,689277290#0,0,0,9,44.97
600.00,660.00,e_plsr_to_rp1,0,0,9,689277290#1,0,0,10,13.59
600.00,660.00,e_grgn_to_rp1,0,0,2,34778584#0,0,0,3,28.73
600.00,660.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,3,5.38
660.00,720.00,e_r2ps_to_rp1,0,0,8,689277284#1,0,0,0,205.68
660.00,720.00,e_r2ps_to_rp1,0,0,0,689277284#2,0,0,0,60.00
660.00,720.00,e_r2pn_0_to_rp1,0,0,6,689277282,0,0,7,72.85
660.00,720.00,e_r2pn_0_to_rp1,0,0,12,881567590#0,0,0,10,77.65
660.00,720.00,e_r2pn_0_to_rp1,0,0,10,881567590#1,0,0,10,21.58
660.00,720.00,e_r2pn_1_to_rp1,0,0,4,1107701847.173,0,0,5,6.09
660.00,720.00,e_r2pn_1_to_rp1,0,0,10,881567590#1,0,0,10,21.58
660.00,720.00,e_plsr_to_rp1,0,0,7,22674672,0,0,9,40.58
660.00,720.00,e_plsr_to_rp1,0,0,10,591402342#0,0,0,11,43.20
660.00,720.00,e_plsr_to_rp1,0,0,11,591402342#1,0,0,11,19.59
660.00,720.00,e_plsr_to_rp1,0,0,11,689277290#0,0,0,10,54.76
660.00,720.00,e_plsr_to_rp1,0,0,10,689277290#1,0,0,9,23.70
660.00,720.00,e_grgn_to_rp1,0,0,8,34778584#0,0,0,5,60.11
660.00,720.00,e_grgn_to_rp1,0,0,5,34778584#1,0,0,5,5.11
720.00,780.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,0,568.43
720.00,780.00,e_r2ps_to_rp1,0,0,0,689277284#2,0,0,0,60.00
720.00,780.00,e_r2pn_0_to_rp1,0,0,4,689277282,0,0,3,41.50
720.00,780.00,e_r2pn_0_to_rp1,0,0,5,881567590#0,0,0,7,28.79
720.00,780.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,0,0,6,12.86
720.00,780.00,e_r2pn_1_to_rp1,0,0,2,1107701847.173,0,0,2,3.37
720.00,780.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,0,0,6,12.86
720.00,780.00,e_plsr_to_rp1,0,0,3,22674672,0,0,3,14.50
720.00,780.00,e_plsr_to_rp1,0,0,3,591402342#0,0,0,3,12.13
