interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
2160.00,2220.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#1,0,0,133.33,0,67.06,50963.60,1020.00,0.00,0.00,1019.87,48996.50,1015.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#2,0,0,133.33,1,90.67,77.57,57.68,0.09,0.00,57.13,1013.59,55.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_2,0,174.29,0,19,689277281#7,6,6,87.15,16,37.97,18.21,317.59,1.94,0.14,271.02,16.03,141.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,15,689277286#0,0,0,133.33,15,47.35,3.19,47.86,3.13,0.23,37.28,2.13,12.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_2,0,102.72,0,15,689277286#1,0,0,102.72,13,47.25,26.40,364.04,2.43,0.17,298.73,24.08,15.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,47.23,17,0,814259719,6,6,23.62,10,11.83,214.64,2934.03,4.85,0.25,2184.41,210.56,1882.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,124.66,0,4,689277284#0,0,0,124.66,5,60.84,139.69,607.65,0.62,0.03,588.24,137.19,322.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,5.77,0,3,689277288#0,0,0,5.77,3,2.48,3.82,11.47,9.97,0.72,3.14,3.42,0.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,4.20,0,3,689277288#1,0,0,4.20,3,1.98,7.08,21.25,12.62,0.91,1.71,6.68,0.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,5.94,0,3,689277288#2,0,0,5.94,4,2.62,10.30,27.51,7.97,0.57,10.70,8.70,0.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,185.90,0,20,881567591#0,6,6,92.95,22,44.43,36.14,749.12,2.00,0.24,566.52,34.40,221.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,173.65,0,20,881567591#1,8,8,86.83,26,38.88,19.42,447.92,2.47,0.30,314.90,17.91,63.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_1,0,218.42,0,26,881567591#2,1,1,109.21,27,43.23,6.66,173.64,2.74,0.33,120.64,5.33,31.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_2,0,130.77,0,2,689277284#1,0,0,130.77,2,64.13,493.53,977.18,0.26,0.01,963.28,492.36,626.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,2,689277284#2,0,0,133.33,1,70.83,36.36,45.69,0.19,0.01,44.86,18.30,37.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_2,0,187.83,0,14,689277281#7,9,9,93.92,17,37.01,21.70,342.27,1.63,0.12,300.24,19.97,167.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,17,689277286#0,0,0,133.33,17,45.07,2.90,48.63,3.44,0.25,36.41,1.72,7.00
2220.00,2280.00,e_r2ps_to_ach1_mgp_2,0,95.22,0,17,689277286#1,0,0,95.22,16,43.45,20.36,337.46,3.15,0.23,255.79,18.56,14.00
2280.00,2340.00,e_r2ps_to_ach1_mgp_1,0,55.28,18,0,814259719,10,10,27.64,10,13.90,191.42,3433.49,5.43,0.28,2461.14,188.00,1008.00
