interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
2460.00,2520.00,e_ccb_to_rp4,0,0,9,102165688#0,0,0,11,1326.95
2460.00,2520.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,7,164.37
2460.00,2520.00,e_ccb_to_rp4,0,0,13,1136268465,9,9,12,589.16
2460.00,2520.00,e_ccb_to_rp4,0,0,13,190876198,0,0,13,294.69
2460.00,2520.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,13,113.01
2520.00,2580.00,e_ccb_to_rp4,0,0,11,102165688#0,0,0,8,1405.83
2520.00,2580.00,e_ccb_to_rp4,0,0,7,102165688#1,0,0,7,199.27
2520.00,2580.00,e_ccb_to_rp4,0,0,8,1136268465,8,8,9,575.48
2520.00,2580.00,e_ccb_to_rp4,0,0,7,190876198,0,0,6,321.88
2520.00,2580.00,e_ccb_to_rp4,0,0,6,28000507#1,0,0,7,116.59
2580.00,2640.00,e_ccb_to_rp4,0,0,6,102165688#0,0,0,8,1466.23
2580.00,2640.00,e_ccb_to_rp4,0,0,7,102165688#1,0,0,5,178.37
2580.00,2640.00,e_ccb_to_rp4,0,0,10,1136268465,5,5,8,641.32
2580.00,2640.00,e_ccb_to_rp4,0,0,8,190876198,0,0,7,322.94
2580.00,2640.00,e_ccb_to_rp4,0,0,7,28000507#1,0,0,5,115.10
2640.00,2700.00,e_ccb_to_rp4,0,0,7,102165688#0,0,0,16,1408.57
2640.00,2700.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,9,174.42
2640.00,2700.00,e_ccb_to_rp4,0,0,14,1136268465,3,3,12,617.77
2640.00,2700.00,e_ccb_to_rp4,0,0,12,190876198,1,1,12,290.00
2640.00,2700.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,12,111.46
2700.00,2760.00,e_ccb_to_rp4,0,0,12,102165688#0,0,0,4,1391.44
2700.00,2760.00,e_ccb_to_rp4,0,0,3,102165688#1,0,0,2,195.21
2700.00,2760.00,e_ccb_to_rp4,0,0,4,1136268465,4,4,6,713.11
2700.00,2760.00,e_ccb_to_rp4,0,0,5,190876198,0,0,6,304.35
2700.00,2760.00,e_ccb_to_rp4,0,0,6,28000507#1,0,0,6,117.42
2760.00,2820.00,e_ccb_to_rp4,0,0,4,102165688#0,0,0,14,1475.65
2760.00,2820.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,9,158.22
2760.00,2820.00,e_ccb_to_rp4,0,1,12,1136268465,9,9,12,500.77
2760.00,2820.00,e_ccb_to_rp4,0,0,13,190876198,0,0,12,288.37
2760.00,2820.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,12,109.25
2820.00,2880.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,4,1365.98
2820.00,2880.00,e_ccb_to_rp4,0,0,4,102165688#1,0,0,3,219.20
2820.00,2880.00,e_ccb_to_rp4,0,0,7,1136268465,4,4,8,647.66
2820.00,2880.00,e_ccb_to_rp4,0,0,8,190876198,1,1,12,294.48
2820.00,2880.00,e_ccb_to_rp4,0,0,13,28000507#1,0,0,14,111.21
2880.00,2940.00,e_ccb_to_rp4,0,0,9,102165688#0,0,0,9,1357.95
2880.00,2940.00,e_ccb_to_rp4,0,0,3,102165688#1,0,0,4,186.95
2880.00,2940.00,e_ccb_to_rp4,0,0,10,1136268465,4,4,8,664.50
2880.00,2940.00,e_ccb_to_rp4,0,0,8,190876198,0,0,4,325.69
2880.00,2940.00,e_ccb_to_rp4,0,0,4,28000507#1,0,0,3,116.21
2940.00,3000.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,2,1647.68
2940.00,3000.00,e_ccb_to_rp4,0,0,1,102165688#1,0,0,0,231.60
2940.00,3000.00,e_ccb_to_rp4,0,0,2,1136268465,3,3,2,742.36
2940.00,3000.00,e_ccb_to_rp4,0,0,2,190876198,0,0,2,344.54
2940.00,3000.00,e_ccb_to_rp4,0,0,2,28000507#1,0,0,2,121.94
3000.00,3060.00,e_ccb_to_rp4,0,0,0,102165688#0,0,0,4,1651.20
3000.00,3060.00,e_ccb_to_rp4,0,0,4,102165688#1,0,0,4,219.32
3000.00,3060.00,e_ccb_to_rp4,0,0,6,1136268465,3,3,7,665.83
3000.00,3060.00,e_ccb_to_rp4,0,0,9,190876198,0,0,12,312.91
3000.00,3060.00,e_ccb_to_rp4,0,1,14,28000507#1,0,0,17,103.04
3060.00,3120.00,e_ccb_to_rp4,0,0,10,102165688#0,0,0,15,1270.18
3060.00,3120.00,e_ccb_to_rp4,0,0,13,102165688#1,0,0,13,171.13
3060.00,3120.00,e_ccb_to_rp4,0,0,14,1136268465,9,9,14,546.98
3060.00,3120.00,e_ccb_to_rp4,0,0,13,190876198,0,0,10,304.92
3060.00,3120.00,e_ccb_to_rp4,0,0,8,28000507#1,0,0,6,114.52
3120.00,3180.00,e_ccb_to_rp4,0,0,9,102165688#0,0,0,3,1571.72
3120.00,3180.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,3,234.61
3120.00,3180.00,e_ccb_to_rp4,0,0,5,1136268465,4,4,8,602.08
3120.00,3180.00,e_ccb_to_rp4,0,0,8,190876198,0,0,9,323.70
3120.00,3180.00,e_ccb_to_rp4,0,0,11,28000507#1,0,0,12,113.12
3180.00,3240.00,e_ccb_to_rp4,0,0,7,102165688#0,0,0,12,1427.62
3180.00,3240.00,e_ccb_to_rp4,0,0,10,102165688#1,0,0,12,182.24
3180.00,3240.00,e_ccb_to_rp4,0,0,15,1136268465,10,10,13,504.72
3180.00,3240.00,e_ccb_to_rp4,0,0,11,190876198,0,0,11,282.79
3180.00,3240.00,e_ccb_to_rp4,0,0,9,28000507#1,0,0,8,108.71
3240.00,3300.00,e_ccb_to_rp4,0,0,11,102165688#0,0,0,3,1437.46
