interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3060.00,3120.00,e_rp2_to_rp3,0,23.28,0,15,542209565,13,13,11.64,15,5.66,23.15,346.09,10.92,0.79,76.13,22.30,17.00
3060.00,3120.00,e_rp2_to_rp3,0,266.67,0,14,136182032#1,0,0,133.33,12,6.64,0.84,10.17,6.28,0.45,5.25,0.31,2.00
3120.00,3180.00,e_rp2_to_rp3,0,26.72,0,18,542209565,14,14,13.36,17,6.46,22.59,397.17,11.19,0.81,73.57,21.63,3.00
3120.00,3180.00,e_rp2_to_rp3,0,266.67,0,17,136182032#1,0,0,133.33,19,12.95,0.93,17.57,5.72,0.41,9.81,0.21,3.00
3180.00,3240.00,e_rp2_to_rp3,0,27.95,0,17,542209565,17,17,13.97,19,6.80,22.80,415.44,11.09,0.80,69.48,22.13,0.00
3180.00,3240.00,e_rp2_to_rp3,0,266.67,0,20,136182032#1,0,0,133.33,20,9.10,0.58,11.58,9.15,0.66,3.01,0.03,0.00
3240.00,3300.00,e_rp2_to_rp3,0,23.96,0,17,542209565,9,9,11.98,17,5.82,22.20,356.11,11.38,0.82,58.25,21.42,1.00
3240.00,3300.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,8.56,0.72,11.49,7.38,0.53,4.75,0.11,1.00
3300.00,3360.00,e_rp2_to_rp3,0,24.90,0,17,542209565,14,14,12.45,15,6.07,21.65,370.14,11.67,0.84,49.61,21.01,1.00
3300.00,3360.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,8.19,0.73,10.89,7.30,0.53,4.46,0.12,1.00
3360.00,3420.00,e_rp2_to_rp3,0,21.18,0,15,542209565,10,10,10.59,16,5.15,20.76,314.88,12.18,0.88,37.33,20.13,0.00
3360.00,3420.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,6.50,0.52,8.26,10.26,0.74,1.65,0.03,0.00
3420.00,3480.00,e_rp2_to_rp3,0,18.78,0,11,542209565,13,13,9.39,14,4.56,23.05,279.13,10.97,0.79,53.99,22.21,5.00
3420.00,3480.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,9.75,0.91,13.36,5.84,0.42,7.19,0.18,1.00
3480.00,3540.00,e_rp2_to_rp3,0,18.01,0,14,542209565,6,6,9.01,11,4.38,20.41,267.77,12.38,0.89,24.99,19.79,0.00
3480.00,3540.00,e_rp2_to_rp3,0,266.67,0,10,136182032#1,0,0,133.33,10,5.71,0.74,7.59,7.18,0.52,3.38,0.09,0.00
3540.00,3600.00,e_rp2_to_rp3,0,22.95,0,16,542209565,18,18,11.47,15,5.58,22.15,341.12,11.41,0.82,53.08,21.50,5.00
3540.00,3600.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,1,1,133.33,15,7.88,0.74,11.07,7.20,0.52,4.55,0.14,0.00
3600.00,3660.00,e_rp2_to_rp3,0,21.39,0,13,542209565,8,8,10.70,16,5.19,23.32,318.03,10.84,0.78,64.68,22.37,11.00
3600.00,3660.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,17,15.45,1.34,22.77,3.95,0.28,15.56,0.63,9.00
3660.00,3720.00,e_rp2_to_rp3,0,13.76,0,10,542209565,5,5,6.88,9,3.35,20.31,204.49,12.44,0.90,16.46,19.73,0.00
3660.00,3720.00,e_rp2_to_rp3,0,258.86,0,9,136182032#1,0,0,129.43,9,3.67,0.52,4.66,10.24,0.74,0.87,0.03,0.00
3720.00,3780.00,e_rp2_to_rp3,0,22.16,0,17,542209565,14,14,11.08,14,5.38,21.01,329.41,12.03,0.87,40.82,20.42,0.00
3720.00,3780.00,e_rp2_to_rp3,0,266.67,0,13,136182032#1,0,0,133.33,13,5.26,0.51,6.69,10.30,0.74,1.28,0.03,0.00
3780.00,3840.00,e_rp2_to_rp3,0,28.25,0,19,542209565,14,14,14.12,20,6.88,20.92,419.89,12.08,0.87,46.26,20.30,0.00
3780.00,3840.00,e_rp2_to_rp3,0,266.67,0,21,136182032#1,0,0,133.33,21,8.95,0.54,11.37,9.79,0.70,2.42,0.03,0.00
3840.00,3900.00,e_rp2_to_rp3,0,15.51,0,10,542209565,8,8,7.76,12,3.78,20.60,230.57,12.27,0.88,21.73,20.01,0.00
3840.00,3900.00,e_rp2_to_rp3,0,266.67,0,12,136182032#1,0,0,133.33,12,4.92,0.52,6.25,10.17,0.73,1.18,0.03,0.00
3900.00,3960.00,e_rp2_to_rp3,0,20.02,0,15,542209565,11,11,10.01,17,4.86,20.19,297.61,12.52,0.90,35.77,19.53,0.00
3900.00,3960.00,e_rp2_to_rp3,0,266.67,0,17,136182032#1,0,0,133.33,17,7.43,0.55,9.43,9.55,0.69,2.56,0.03,0.00
3960.00,4020.00,e_rp2_to_rp3,0,17.09,0,15,542209565,15,15,8.54,11,4.13,20.14,254.01,12.55,0.90,28.93,19.54,0.00
3960.00,4020.00,e_rp2_to_rp3,0,266.67,0,10,136182032#1,0,0,133.33,10,4.35,0.55,5.53,9.58,0.69,1.68,0.03,0.00
