interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1560.00,1620.00,39.00,z_r2pn_to_rp1_1,39.00,180.25,28,9.00,9.00,16.36,2,34.72,5,3.54,3.54,3.00,0.47,16.34,3.99,8.87,2.22,7,10,10,126.79,11.00
1620.00,1680.00,538.00,z_r2pn_to_rp1_0,410.00,2777.94,381,21.00,17.00,89.73,12,32.46,14,12.51,9.53,44.23,6.03,25.79,2.90,28.30,11.40,8,10,20,677.15,33.00
1620.00,1680.00,14.00,z_r2pn_to_rp1_1,14.00,79.30,11,5.00,5.00,23.10,3,23.46,3,4.67,4.67,1.32,0.18,7.90,7.38,2.93,1.22,10,9,10,65.97,3.00
1680.00,1740.00,403.00,z_r2pn_to_rp1_0,318.00,2331.42,314,22.00,19.00,77.21,10,22.51,10,14.93,11.78,37.08,4.98,17.14,2.60,26.10,7.80,5,9,15,462.24,18.00
1680.00,1740.00,23.00,z_r2pn_to_rp1_1,23.00,124.05,20,9.00,9.00,20.09,3,23.57,4,7.67,7.67,2.07,0.33,8.22,5.13,5.93,1.20,6,7,7,66.87,3.00
1740.00,1800.00,45.00,z_r2pn_to_rp1_0,12.00,39.28,8,17.00,5.00,5.00,1,13.19,6,7.50,2.00,0.65,0.13,4.69,11.13,3.50,2.23,7,11,13,127.79,4.00
1740.00,1800.00,6.00,z_r2pn_to_rp1_1,6.00,15.00,3,3.00,3.00,5.00,1,23.14,3,2.00,2.00,0.25,0.05,5.33,7.57,2.44,0.80,7,6,7,43.25,3.00
1800.00,1860.00,12.00,z_r2pn_to_rp1_0,12.00,38.59,8,6.00,6.00,5.00,1,9.95,4,3.00,3.00,0.64,0.13,3.89,13.91,3.12,1.85,7,8,9,103.66,4.00
1800.00,1860.00,4.00,z_r2pn_to_rp1_1,4.00,19.93,4,4.00,4.00,5.00,1,15.71,2,4.00,4.00,0.33,0.07,2.69,5.39,2.68,0.38,3,4,4,21.40,2.00
1860.00,1920.00,9.00,z_r2pn_to_rp1_0,9.00,33.66,7,7.00,7.00,4.87,1,8.82,4,4.50,4.50,0.56,0.12,3.06,13.89,2.57,1.45,7,5,8,83.06,2.00
1860.00,1920.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,20.78,3,0.00,0.00,0.00,0.00,5.43,9.39,1.55,0.93,9,9,9,47.34,0.00
1920.00,1980.00,83.00,z_r2pn_to_rp1_0,83.00,517.35,83,26.00,26.00,20.27,3,18.01,8,7.54,7.54,8.62,1.38,10.20,7.98,10.44,4.68,12,10,15,273.21,12.00
1920.00,1980.00,7.00,z_r2pn_to_rp1_1,7.00,15.00,3,2.00,2.00,5.00,1,31.42,4,1.75,1.75,0.25,0.05,8.73,6.54,3.41,1.37,11,11,11,72.92,4.00
1980.00,2040.00,48.00,z_r2pn_to_rp1_0,48.00,198.88,35,13.00,13.00,13.87,2,11.25,5,3.69,3.69,3.31,0.58,5.34,6.34,10.35,2.50,4,6,9,147.30,13.00
1980.00,2040.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,11.20,2,0.00,0.00,0.00,0.00,2.65,12.17,0.75,0.43,4,4,4,22.56,0.00
2040.00,2100.00,239.00,z_r2pn_to_rp1_0,219.00,1511.30,212,47.00,35.00,46.39,6,16.69,8,19.92,18.25,25.11,3.52,11.90,4.19,24.54,5.38,7,2,10,317.23,11.00
2040.00,2100.00,20.00,z_r2pn_to_rp1_1,20.00,141.06,18,11.00,11.00,16.46,2,20.86,3,10.00,10.00,2.35,0.30,5.51,5.00,6.77,0.82,4,4,4,45.20,2.00
2100.00,2160.00,318.00,z_r2pn_to_rp1_0,224.00,1788.65,251,36.00,36.00,46.23,6,17.91,8,17.67,12.44,29.40,4.10,13.25,2.34,25.43,5.97,4,6,12,355.81,14.00
2100.00,2160.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,8.13,2,0.00,0.00,0.00,0.00,2.56,8.85,1.44,0.43,5,4,5,21.95,0.00
2160.00,2220.00,212.00,z_r2pn_to_rp1_0,101.00,625.34,93,36.00,21.00,46.68,6,15.76,7,17.67,8.42,10.26,1.52,9.65,6.78,10.71,4.55,9,14,15,264.49,9.00
2160.00,2220.00,3.00,z_r2pn_to_rp1_1,3.00,18.49,4,3.00,3.00,5.00,1,7.86,1,3.00,3.00,0.31,0.07,1.76,4.60,2.04,0.30,4,4,5,16.13,2.00
2220.00,2280.00,37.00,z_r2pn_to_rp1_0,37.00,202.40,33,14.00,14.00,19.84,3,9.00,4,9.25,9.25,3.37,0.55,4.85,10.05,7.37,2.25,6,5,7,130.45,4.00
2220.00,2280.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,15.71,2,0.00,0.00,0.00,0.00,3.35,10.77,0.94,0.55,6,6,7,29.06,0.00
2280.00,2340.00,79.00,z_r2pn_to_rp1_0,76.00,421.92,69,18.00,18.00,27.32,4,11.17,5,9.88,9.50,7.03,1.15,6.02,7.73,10.57,2.78,7,6,9,163.35,7.00
2280.00,2340.00,5.00,z_r2pn_to_rp1_1,5.00,10.00,2,2.00,2.00,5.00,1,15.71,2,1.67,1.67,0.17,0.03,4.34,6.38,3.69,0.62,4,5,5,34.78,3.00
2340.00,2400.00,161.00,z_r2pn_to_rp1_0,131.00,876.11,129,51.00,38.00,20.01,3,6.75,3,32.20,26.20,14.60,2.15,5.91,2.12,28.16,2.68,2,3,5,159.11,3.00
2340.00,2400.00,1.00,z_r2pn_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,15.71,2,1.00,1.00,0.00,0.00,3.89,9.50,1.76,0.63,6,5,6,32.27,1.00
