interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
2640.00,2700.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,7.21,0.29,0.02,1,1,1,0.72,0.00
2700.00,2760.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,19.68,8,0.00,0.00,0.00,0.00,14.39,9.61,3.55,6.33,15,17,20,362.79,0.00
2700.00,2760.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2760.00,2820.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,19.68,8,1.00,1.00,0.00,0.00,11.39,8.96,3.40,4.93,16,11,19,281.83,1.00
2760.00,2820.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2820.00,2880.00,82.00,z_ach1_mgp_to_rp1_1,82.00,483.61,71,13.00,13.00,36.38,5,24.60,11,7.45,7.45,8.06,1.18,20.73,7.07,7.90,8.90,18,16,26,512.78,11.00
2820.00,2880.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.28,6.05,3.43,0.12,1,0,1,6.19,0.00
2880.00,2940.00,24.00,z_ach1_mgp_to_rp1_1,23.00,125.54,18,5.00,5.00,23.37,3,25.63,11,4.00,3.83,2.09,0.30,22.47,7.88,5.36,9.62,22,22,32,556.40,5.00
2880.00,2940.00,0.00,z_ach1_mgp_to_rp1_2,0.00,28.09,6,0.00,0.00,4.68,1,2.44,1,0.00,0.00,0.47,0.10,0.67,2.84,13.44,0.28,0,1,1,17.00,1.00
2940.00,3000.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,26.58,12,0.00,0.00,0.00,0.00,21.11,8.46,5.03,9.22,21,24,31,527.65,0.00
2940.00,3000.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,3.46,1,0.00,0.00,0.00,0.00,0.10,10.32,0.15,0.03,2,2,2,0.91,0.00
3000.00,3060.00,40.00,z_ach1_mgp_to_rp1_1,40.00,180.79,28,6.00,6.00,29.07,4,24.60,11,3.33,3.33,3.01,0.47,20.81,7.22,7.31,8.98,20,17,27,519.38,12.00
3000.00,3060.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3060.00,3120.00,10.00,z_ach1_mgp_to_rp1_1,10.00,12.83,3,3.00,3.00,5.00,1,26.45,11,1.43,1.43,0.15,0.03,23.39,7.98,6.13,9.92,19,21,29,576.56,7.00
3060.00,3120.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3120.00,3180.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,25.51,11,0.00,0.00,0.00,0.00,21.27,8.37,5.12,9.22,23,22,31,532.73,0.00
3120.00,3180.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3180.00,3240.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,20.87,9,0.00,0.00,0.00,0.00,17.96,8.65,4.09,7.73,18,19,27,443.08,0.00
3180.00,3240.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3240.00,3300.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,19.68,9,0.00,0.00,0.00,0.00,16.28,8.95,3.73,7.18,19,20,27,409.29,0.00
3240.00,3300.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.74,12.46,1.01,0.33,3,2,3,17.39,0.00
3300.00,3360.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,22.14,10,1.00,1.00,0.00,0.00,18.63,8.98,4.00,8.13,21,20,28,466.87,1.00
3300.00,3360.00,0.00,z_ach1_mgp_to_rp1_2,0.00,51.51,11,0.00,0.00,4.70,1,2.44,1,0.00,0.00,0.86,0.18,0.78,4.06,13.09,0.33,0,1,1,20.00,1.00
3360.00,3420.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,23.23,10,1.00,1.00,0.00,0.00,19.83,8.89,4.03,8.48,21,22,29,487.88,1.00
3360.00,3420.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3420.00,3480.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,22.14,9,0.00,0.00,0.00,0.00,15.86,9.12,3.87,6.98,17,19,24,400.42,0.00
3420.00,3480.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.22,12.90,0.67,0.10,1,1,1,5.25,0.00
3480.00,3540.00,2.00,z_ach1_mgp_to_rp1_1,2.00,0.00,0,1.00,1.00,0.00,0,22.14,10,1.00,1.00,0.00,0.00,16.63,9.27,3.59,7.27,20,17,25,415.66,2.00
3480.00,3540.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,8.68,0.07,0.02,1,1,1,0.15,0.00
3540.00,3600.00,34.00,z_ach1_mgp_to_rp1_1,34.00,159.18,26,8.00,8.00,20.55,3,27.05,11,4.25,4.25,2.65,0.43,18.56,8.21,5.12,7.98,18,15,26,461.36,8.00
3540.00,3600.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3600.00,3660.00,23.00,z_ach1_mgp_to_rp1_1,16.00,76.38,12,5.00,4.00,21.21,3,28.87,12,3.29,2.29,1.27,0.20,17.60,7.76,5.97,7.52,13,23,24,432.23,4.00
3600.00,3660.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,3.46,1,0.00,0.00,0.00,0.00,0.12,5.44,0.88,0.03,1,1,1,1.46,0.00
3660.00,3720.00,21.00,z_ach1_mgp_to_rp1_1,21.00,115.14,18,9.00,9.00,20.02,3,12.00,5,7.00,7.00,1.92,0.30,5.21,7.45,6.44,2.20,5,2,6,128.08,3.00
3660.00,3720.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3720.00,3780.00,34.00,z_ach1_mgp_to_rp1_1,13.00,56.36,9,11.00,4.00,20.00,3,15.79,7,4.86,1.86,0.94,0.15,11.64,8.89,4.26,5.13,15,12,19,291.84,4.00
3720.00,3780.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3780.00,3840.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,14.76,7,0.00,0.00,0.00,0.00,6.07,9.81,2.13,2.73,6,10,13,154.57,0.00
3780.00,3840.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.20,12.73,0.68,0.08,1,0,1,4.77,0.00
3840.00,3900.00,4.00,z_ach1_mgp_to_rp1_1,4.00,15.00,3,4.00,4.00,5.00,1,12.30,5,4.00,4.00,0.25,0.05,7.71,9.09,3.41,3.40,8,8,11,193.48,1.00
3840.00,3900.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,14.80,0.00,0.02,0,1,1,1.00,0.00
3900.00,3960.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,7.38,4,0.00,0.00,0.00,0.00,4.97,9.96,2.18,2.23,6,6,9,125.39,0.00
3900.00,3960.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
3960.00,4020.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,7.38,3,0.00,0.00,0.00,0.00,3.82,10.10,2.21,1.72,3,6,6,97.23,0.00
3960.00,4020.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4020.00,4080.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,14.76,6,0.00,0.00,0.00,0.00,6.26,10.05,2.49,2.70,10,4,10,153.74,0.00
4020.00,4080.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4080.00,4140.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,14.44,6,0.00,0.00,0.00,0.00,7.29,9.05,2.72,3.25,7,11,13,186.03,0.00
4080.00,4140.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4140.00,4200.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,17.22,7,0.00,0.00,0.00,0.00,11.41,9.07,4.66,4.92,12,10,14,285.48,0.00
4140.00,4200.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4200.00,4260.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,22.14,9,0.00,0.00,0.00,0.00,13.82,9.06,3.23,6.08,19,14,23,345.67,0.00
4200.00,4260.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4260.00,4320.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,22.14,10,0.00,0.00,0.00,0.00,11.30,9.48,3.46,5.00,9,16,18,285.02,0.00
4260.00,4320.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4320.00,4380.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,14.02,6,0.00,0.00,0.00,0.00,5.50,10.21,1.75,2.40,9,5,11,135.87,0.00
4320.00,4380.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4380.00,4440.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,12.68,6,0.00,0.00,0.00,0.00,11.44,9.89,2.72,5.02,12,14,18,287.49,0.00
