interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
3480.00,3540.00,1407.00,z_plsr_to_rp1,1142.00,10320.18,1114,64.00,60.00,197.20,21,50.64,22,28.71,23.31,156.07,16.72,48.79,0.26,50.10,20.50,3,3,24,1227.46,28.00
3540.00,3600.00,1249.00,z_plsr_to_rp1,869.00,7541.45,830,64.00,27.00,193.95,21,54.12,23,21.17,14.73,119.15,12.85,45.39,1.06,37.98,18.68,6,7,27,1114.14,39.00
3600.00,3660.00,1190.00,z_plsr_to_rp1,1016.00,8685.91,974,42.00,42.00,202.33,22,54.01,22,20.17,17.22,125.51,13.63,49.52,0.70,52.23,20.25,2,4,22,1211.52,42.00
3660.00,3720.00,1005.00,z_plsr_to_rp1,884.00,7130.33,841,44.00,44.00,197.20,21,50.12,21,17.63,15.51,106.95,12.57,46.45,1.18,44.28,19.50,6,5,24,1162.32,43.00
3720.00,3780.00,1395.00,z_plsr_to_rp1,1255.00,10577.63,1234,60.00,59.00,207.34,24,57.30,24,32.44,29.19,169.44,19.55,53.90,0.33,55.31,22.75,5,4,24,1360.16,27.00
3780.00,3840.00,630.00,z_plsr_to_rp1,307.00,1847.99,248,60.00,11.00,69.03,8,47.71,20,9.00,4.38,27.09,3.55,35.83,3.54,21.61,15.32,11,19,31,905.12,59.00
3840.00,3900.00,52.00,z_plsr_to_rp1,52.00,155.60,25,3.00,3.00,29.00,2,38.58,16,1.93,1.93,2.26,0.35,31.80,5.70,13.52,13.77,22,21,34,805.04,27.00
3900.00,3960.00,124.00,z_plsr_to_rp1,115.00,639.32,81,7.00,7.00,53.85,5,35.53,15,3.26,3.03,10.01,1.22,29.64,5.55,13.74,12.87,20,18,33,755.47,34.00
3960.00,4020.00,517.00,z_plsr_to_rp1,504.00,3905.60,430,15.00,15.00,154.72,14,42.75,18,6.46,6.30,57.77,5.95,36.74,2.56,27.11,15.72,13,13,28,929.71,74.00
4020.00,4080.00,261.00,z_plsr_to_rp1,235.00,1090.21,132,7.00,6.00,68.30,7,40.84,17,2.33,2.10,16.03,1.80,36.65,3.19,24.39,15.70,14,13,29,927.73,105.00
4080.00,4140.00,62.00,z_plsr_to_rp1,37.00,204.47,29,6.00,5.00,53.54,6,38.58,17,4.13,2.47,3.03,0.42,14.61,5.59,12.60,6.52,2,18,18,378.02,8.00
4140.00,4200.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4200.00,4260.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4260.00,4320.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4320.00,4380.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4380.00,4440.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4440.00,4500.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4500.00,4560.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4560.00,4620.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4620.00,4680.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4680.00,4740.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4740.00,4800.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4800.00,4860.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4860.00,4920.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4920.00,4980.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4980.00,5040.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5040.00,5100.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5100.00,5160.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5160.00,5220.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5220.00,5280.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5280.00,5340.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5340.00,5400.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
5400.00,5433.00,0.00,z_plsr_to_rp1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
